repo_url,commit_hash,error
deepparag/Aeona,f68dd0eab706955402f68d656975c6ca4283e9c9,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout f68dd0eab706955402f68d656975c6ca4283e9c9
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,6f9f96ca5468478b88fd3cfb5f644ce16da7e06e,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 6f9f96ca5468478b88fd3cfb5f644ce16da7e06e
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,58b863b774b235d8589a284c98e7e1794325c714,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 58b863b774b235d8589a284c98e7e1794325c714
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,30a00c4f0bb20a419589a16f3cc46e45fc332ea4,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 30a00c4f0bb20a419589a16f3cc46e45fc332ea4
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,f16465fcf46cf7b94179ec1d0509a1cffcca24bb,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout f16465fcf46cf7b94179ec1d0509a1cffcca24bb
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,fa97570077991259d6edae9d0ee19144c450788a,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout fa97570077991259d6edae9d0ee19144c450788a
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,db92d408487e9e8c5db8f17f427a0bea8795545d,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout db92d408487e9e8c5db8f17f427a0bea8795545d
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,bc751077ba24ada34b4ec6697eaea508666a7f54,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout bc751077ba24ada34b4ec6697eaea508666a7f54
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,150393d1255d6d3af18baf41c8f1dbb54ee8f107,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 150393d1255d6d3af18baf41c8f1dbb54ee8f107
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,edd707943bcd23bbff55ef790ac0cfe94261971d,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout edd707943bcd23bbff55ef790ac0cfe94261971d
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
