repo_url,commit_hash,error
m3rg-iitd/matscibert,86b22875e40249cb9574361d1a3d37f0bca41cc0,[Errno 2] No such file or directory: 'tmp/m3rg-iitd+matscibert/rng_state.pth'
lucio/xls-r-kyrgiz-cv8,0f806de9aedd0b846f862ac379decbd7596b213e,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 0f806de9aedd0b846f862ac379decbd7596b213e
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,7f87c6557e6a3ebb946968e50efa83fc284425cf,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 7f87c6557e6a3ebb946968e50efa83fc284425cf
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,ac3c9557e929dbfa2c63d38c81964d1ceecfd914,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout ac3c9557e929dbfa2c63d38c81964d1ceecfd914
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,ee73780174f604b66101fd7b4a8930ec1d322bb9,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout ee73780174f604b66101fd7b4a8930ec1d322bb9
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,3b7975b4260e6ac8df5a7cab724f5f742b088086,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 3b7975b4260e6ac8df5a7cab724f5f742b088086
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,2293a2f57b2b4af2b246e1a3743499fe2a48ba74,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 2293a2f57b2b4af2b246e1a3743499fe2a48ba74
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,4a2590252b9fd0cd6def4a2532e0e13ab882af64,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 4a2590252b9fd0cd6def4a2532e0e13ab882af64
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,c1891befdc4895e38571605fa2e32750b51ab7ab,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout c1891befdc4895e38571605fa2e32750b51ab7ab
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,6e0ba6beb40ededd7c0e0e7e0823a6e6870f85ce,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 6e0ba6beb40ededd7c0e0e7e0823a6e6870f85ce
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,55afb1f5fa2e812c92691eac1a4f3fda1f56dc8c,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 55afb1f5fa2e812c92691eac1a4f3fda1f56dc8c
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,ea0a4808ca442eccb68960d5c4b9ada43bdb1e36,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout ea0a4808ca442eccb68960d5c4b9ada43bdb1e36
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,5c689017d4d0634b2968a938773d2ce59c6d44d1,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 5c689017d4d0634b2968a938773d2ce59c6d44d1
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,4ad0b1c127a1564b8cf50923b2ae599bacf6f342,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 4ad0b1c127a1564b8cf50923b2ae599bacf6f342
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,0fce6af4033e77c0c561958cdbfa40efb45751b0,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 0fce6af4033e77c0c561958cdbfa40efb45751b0
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,5e1822ae3e626621d051253c1e52103cf06d8d59,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 5e1822ae3e626621d051253c1e52103cf06d8d59
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,e56115436d3feb32571ffce439d8d887212c79ee,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout e56115436d3feb32571ffce439d8d887212c79ee
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,485f5987d6541de7defdf300a80bd524940934d8,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 485f5987d6541de7defdf300a80bd524940934d8
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,1b37bc567b227916e6bf54436f7e1918156a4b30,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 1b37bc567b227916e6bf54436f7e1918156a4b30
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,8c279c24d5c3c6afd9c07ab6d529e68a13c1c11b,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 8c279c24d5c3c6afd9c07ab6d529e68a13c1c11b
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,2cd41a04d62de01a703c5791c85e6abbc6e13927,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 2cd41a04d62de01a703c5791c85e6abbc6e13927
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,5d31f36e9700698d368969fad9814b24188a2f7f,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 5d31f36e9700698d368969fad9814b24188a2f7f
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,d0a4b9bcbda5e4731f19c71146ff25f0f757147c,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout d0a4b9bcbda5e4731f19c71146ff25f0f757147c
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,9283f0b100145c28cb2806644419e086f2c925f4,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 9283f0b100145c28cb2806644419e086f2c925f4
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,402330d2958469b4c14364e0b15f5f9f2878549a,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 402330d2958469b4c14364e0b15f5f9f2878549a
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,0bd0a09072d52cb608a1d569b0088f62854a6104,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 0bd0a09072d52cb608a1d569b0088f62854a6104
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,e5f7b1d2d6bf05762f988fef48b10d4bfc0c145f,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout e5f7b1d2d6bf05762f988fef48b10d4bfc0c145f
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,031abfe1edd903e98c768ed035b581e7c83e560e,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 031abfe1edd903e98c768ed035b581e7c83e560e
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,cd8c9769159fea61ef1c252ae4ad541de31148e4,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout cd8c9769159fea61ef1c252ae4ad541de31148e4
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,1b00b7b66f8a0d7a032276e3614b17c99538513c,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 1b00b7b66f8a0d7a032276e3614b17c99538513c
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,3e3a75f0602301e68be7109cc93b45168e718d49,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 3e3a75f0602301e68be7109cc93b45168e718d49
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,df98b1ee0e3bff010148406931493ab797264096,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout df98b1ee0e3bff010148406931493ab797264096
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,d25aa1684e487e1e940f7750550521058dc983e7,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout d25aa1684e487e1e940f7750550521058dc983e7
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,cdce29f7bca4a73e453ed54a6cfbbd54f853c6c4,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout cdce29f7bca4a73e453ed54a6cfbbd54f853c6c4
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,acaaa4e59087e123def20ed23c6c9769d6286789,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout acaaa4e59087e123def20ed23c6c9769d6286789
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,45cdc479753268d68a505ae0b8bc34f4f088d8fc,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 45cdc479753268d68a505ae0b8bc34f4f088d8fc
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,d9816818eea4aa57e7a1e2071ce8ed7654172775,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout d9816818eea4aa57e7a1e2071ce8ed7654172775
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,e2b7c88897030f862a2d96348533c886d9c78150,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout e2b7c88897030f862a2d96348533c886d9c78150
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,a2a44ed97cfc24f8b05ab568cd7a6b3ebb832114,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout a2a44ed97cfc24f8b05ab568cd7a6b3ebb832114
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
lucio/xls-r-kyrgiz-cv8,388cb3e7aca02b9df0642ec27e3b8c58bb901bfd,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 388cb3e7aca02b9df0642ec27e3b8c58bb901bfd
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
