repo_url,commit_hash,error
deepparag/Aeona,1e48ce1767439dfeeeee8736785275cae7ad1687,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 1e48ce1767439dfeeeee8736785275cae7ad1687
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,494a4fc1e1b42e35cb6d1aea77eadf572a70458a,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 494a4fc1e1b42e35cb6d1aea77eadf572a70458a
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,4a4d2ef328b37a409ff2676e997e36ca6a359d3b,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 4a4d2ef328b37a409ff2676e997e36ca6a359d3b
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,cd4d35bd4b1cd6aecaf1f44c128dd945f2f2cd7d,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout cd4d35bd4b1cd6aecaf1f44c128dd945f2f2cd7d
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,bada63781a2d1ab51a91b6bdb1ecf8a25d89cbc0,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout bada63781a2d1ab51a91b6bdb1ecf8a25d89cbc0
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,c71f84b26f91cc82d1f99f1a7a236999c0312cce,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout c71f84b26f91cc82d1f99f1a7a236999c0312cce
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,b9c0b15bd1039371a9675930a98154dcdf1c9a99,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout b9c0b15bd1039371a9675930a98154dcdf1c9a99
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,eec380b7df26ef3e20bbebf66ee7f70f115134be,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout eec380b7df26ef3e20bbebf66ee7f70f115134be
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
