repo_url,commit_hash,model_file_path,serialization_format
ctheodoris/Geneformer,61f15d2966d2e3a942211398eba8e22fdfee592b,ctheodoris/Geneformer/model.safetensors,safetensors
ctheodoris/Geneformer,1786b4450ff9d52f26817bb80281188e3298a723,ctheodoris/Geneformer/fine_tuned_models/geneformer-6L-30M_CellClassifier_cardiomyopathies_220224/optimizer.pt,torch.save
ctheodoris/Geneformer,1786b4450ff9d52f26817bb80281188e3298a723,ctheodoris/Geneformer/fine_tuned_models/geneformer-6L-30M_CellClassifier_cardiomyopathies_220224/pytorch_model.bin,torch.save
ctheodoris/Geneformer,1786b4450ff9d52f26817bb80281188e3298a723,ctheodoris/Geneformer/fine_tuned_models/geneformer-6L-30M_CellClassifier_cardiomyopathies_220224/rng_state.pth,torch.save
ctheodoris/Geneformer,1786b4450ff9d52f26817bb80281188e3298a723,ctheodoris/Geneformer/fine_tuned_models/geneformer-6L-30M_CellClassifier_cardiomyopathies_220224/scheduler.pt,torch.save
ctheodoris/Geneformer,1786b4450ff9d52f26817bb80281188e3298a723,ctheodoris/Geneformer/fine_tuned_models/geneformer-6L-30M_CellClassifier_cardiomyopathies_220224/training_args.bin,torch.save
ctheodoris/Geneformer,9d41e7053af8a702003d99305cee01cd34b62ab7,ctheodoris/Geneformer/geneformer-12L-30M/pytorch_model.bin,torch.save
ctheodoris/Geneformer,9d41e7053af8a702003d99305cee01cd34b62ab7,ctheodoris/Geneformer/geneformer-12L-30M/training_args.bin,torch.save
ctheodoris/Geneformer,8ce598f054a680517c647207f52d09963f7abd89,ctheodoris/Geneformer/geneformer/gene_name_id_dict.pkl,pickle
ctheodoris/Geneformer,09276ddf612a39cfdbf24ad0fec8d527a0bb8ce3,ctheodoris/Geneformer/geneformer/gene_name_id_dict.pkl,pickle
ctheodoris/Geneformer,1987df4a8ae2d06b55dfcf95f5b3df93deb277ce,ctheodoris/Geneformer/geneformer/token_dictionary.pkl,pickle
ctheodoris/Geneformer,5426788c3d79d217cae248dfe72ed29954096fe0,ctheodoris/Geneformer/geneformer/gene_median_dictionary.pkl,pickle
ctheodoris/Geneformer,5426788c3d79d217cae248dfe72ed29954096fe0,ctheodoris/Geneformer/geneformer/token_dictionary.pkl,pickle
ctheodoris/Geneformer,4cfe5a657a1e46666522e5ca34bd252daf073219,ctheodoris/Geneformer/training_args.bin,torch.save
ctheodoris/Geneformer,3c8dcdc5be540cbd07d105a40791782d42f98b58,ctheodoris/Geneformer/pytorch_model.bin,torch.save
dangvantuan/sentence-camembert-base,5b379ad5d08d2d0882b09ee3729e082da401db4a,dangvantuan/sentence-camembert-base/pytorch_model.bin,torch.save
dangvantuan/sentence-camembert-base,5b379ad5d08d2d0882b09ee3729e082da401db4a,dangvantuan/sentence-camembert-base/sentencepiece.bpe.model,ONNX
