created_at_month_year,ONNX,h5/hdf5,joblib,numpy,pickle,safetensors,torch.save
2022-09,0.0,15.789473684210526,0.0,0.0,3.508771929824561,14.035087719298245,66.66666666666666
2022-10,0.0,4.854368932038835,0.0,0.0,0.9708737864077669,1.9417475728155338,92.23300970873787
2022-11,9.75609756097561,2.4390243902439024,0.0,0.0,1.2195121951219512,17.073170731707318,69.51219512195121
2022-12,3.7735849056603774,0.0,0.0,0.0,0.0,37.735849056603776,58.490566037735846
2023-01,2.7027027027027026,0.9009009009009009,0.0,0.0,1.8018018018018018,26.126126126126124,68.46846846846847
2023-02,2.727272727272727,1.8181818181818181,0.0,0.0,8.181818181818182,14.545454545454545,72.72727272727273
2023-03,7.042253521126761,1.4084507042253522,0.0,0.0,1.4084507042253522,26.76056338028169,63.38028169014085
2023-04,2.898550724637681,1.4492753623188406,0.0,0.0,1.4492753623188406,30.434782608695656,63.76811594202898
2023-05,19.26605504587156,0.0,0.0,0.0,0.0,44.03669724770643,36.69724770642202
2023-06,24.0,0.0,0.0,0.0,0.0,30.0,46.0
2023-07,3.4482758620689653,0.0,0.0,0.0,0.8620689655172413,50.86206896551724,44.827586206896555
2023-08,9.70873786407767,0.9708737864077669,0.0,0.9708737864077669,0.0,44.66019417475729,43.689320388349515
2023-09,27.722772277227726,0.0,0.0,0.9900990099009901,1.9801980198019802,25.742574257425744,43.56435643564357
2023-10,16.27906976744186,2.3255813953488373,0.0,0.0,0.0,26.744186046511626,54.65116279069767
2023-11,9.345794392523365,0.9345794392523363,0.0,0.0,0.0,42.05607476635514,47.66355140186916
2023-12,13.541666666666666,0.0,1.0416666666666665,0.0,0.0,54.166666666666664,31.25
2024-01,13.095238095238097,3.571428571428571,1.1904761904761905,0.0,1.1904761904761905,42.857142857142854,38.095238095238095
2024-02,16.0,1.3333333333333335,0.0,1.3333333333333335,0.0,56.00000000000001,25.333333333333336
2024-03,24.691358024691358,0.0,0.0,0.0,0.0,48.148148148148145,27.160493827160494
2024-04,16.666666666666664,1.3888888888888888,0.0,0.0,4.166666666666666,51.388888888888886,26.38888888888889
2024-05,8.450704225352112,0.0,0.0,0.0,0.0,61.97183098591549,29.577464788732392
2024-06,12.658227848101266,1.2658227848101267,0.0,0.0,2.5316455696202533,58.22784810126582,25.31645569620253
2024-07,8.571428571428571,1.4285714285714286,1.4285714285714286,0.0,0.0,67.14285714285714,21.428571428571427
2024-08,8.064516129032258,0.0,0.0,0.0,1.6129032258064515,58.06451612903226,32.25806451612903
2024-09,2.8169014084507045,0.0,0.0,0.0,0.0,70.4225352112676,26.76056338028169
2024-10,12.195121951219512,1.2195121951219512,1.2195121951219512,0.0,1.2195121951219512,64.63414634146342,19.51219512195122
2024-11,8.450704225352112,4.225352112676056,1.4084507042253522,0.0,0.0,61.97183098591549,23.943661971830984
2024-12,4.705882352941177,0.0,0.0,0.0,0.0,67.05882352941175,28.235294117647058
