repo_url,commit_hash,model_file_path,serialization_format
sentence-transformers/bert-large-nli-cls-token,00e4634e59516819b2fa94f66913794f405ec4fa,sentence-transformers/bert-large-nli-cls-token/model.safetensors,safetensors
sentence-transformers/bert-large-nli-cls-token,50322e8fd4324f6c43ac0834fff7b7d89603282e,sentence-transformers/bert-large-nli-cls-token/tf_model.h5,h5/hdf5
sentence-transformers/bert-large-nli-cls-token,3e22a83c117f612478193944c6a1258f96c802a6,sentence-transformers/bert-large-nli-cls-token/pytorch_model.bin,torch.save
sentence-transformers/bert-large-nli-cls-token,0679e6dd593bc2f99193457dd3f3ccc507f6f8a3,sentence-transformers/bert-large-nli-cls-token/pytorch_model.bin,pickle
sentence-transformers/bert-base-wikipedia-sections-mean-tokens,66a32828d8eb5208698cfc67a083cb2767ddae0e,sentence-transformers/bert-base-wikipedia-sections-mean-tokens/model.safetensors,safetensors
sentence-transformers/bert-base-wikipedia-sections-mean-tokens,bfe50e68735b7f483150fd1548ddb77e04b43fa8,sentence-transformers/bert-base-wikipedia-sections-mean-tokens/tf_model.h5,h5/hdf5
sentence-transformers/bert-base-wikipedia-sections-mean-tokens,08a5ca39a424e93cb5718887c3d513db6668ba38,sentence-transformers/bert-base-wikipedia-sections-mean-tokens/pytorch_model.bin,torch.save
sentence-transformers/bert-base-nli-stsb-mean-tokens,a6cbfd343cee00119481f2862ed6c37b31f7d3b4,sentence-transformers/bert-base-nli-stsb-mean-tokens/model.safetensors,safetensors
sentence-transformers/bert-base-nli-stsb-mean-tokens,1bd90bb33d5c6601f5fbd26d91e955a65059ee55,sentence-transformers/bert-base-nli-stsb-mean-tokens/tf_model.h5,h5/hdf5
sentence-transformers/bert-base-nli-stsb-mean-tokens,6d455fece806f7b0f74a5f371ffe48e6b327f394,sentence-transformers/bert-base-nli-stsb-mean-tokens/pytorch_model.bin,torch.save
sentence-transformers/bert-base-nli-stsb-mean-tokens,3a636cccea17b0965a08cc7ffcbde612bdb2aeaa,sentence-transformers/bert-base-nli-stsb-mean-tokens/pytorch_model.bin,pickle
sentence-transformers/bert-base-nli-mean-tokens,50a3c8e8e115748c99fa4bc49e35758e9a5bb598,sentence-transformers/bert-base-nli-mean-tokens/model.safetensors,safetensors
sentence-transformers/bert-base-nli-mean-tokens,12dcbc386c378a27522e2b0259a9b2161c702b42,sentence-transformers/bert-base-nli-mean-tokens/tf_model.h5,h5/hdf5
sentence-transformers/bert-base-nli-mean-tokens,2739dcfdcb0c6bd214572ee6f063c96bfddd9438,sentence-transformers/bert-base-nli-mean-tokens/pytorch_model.bin,torch.save
sentence-transformers/bert-base-nli-mean-tokens,bb482af4b99eb07cfc0dd49439482f75c3204201,sentence-transformers/bert-base-nli-mean-tokens/pytorch_model.bin,pickle
sentence-transformers/bert-base-nli-max-tokens,cb4452e02e5159fc64358dfdf3e45c2d868cc410,sentence-transformers/bert-base-nli-max-tokens/model.safetensors,safetensors
sentence-transformers/bert-base-nli-max-tokens,c89b0d9813cc872c23740b2e08ea6210b3c059c5,sentence-transformers/bert-base-nli-max-tokens/tf_model.h5,h5/hdf5
sentence-transformers/bert-base-nli-max-tokens,2921f4846999f619c047b2ab8ed03604f6208ffe,sentence-transformers/bert-base-nli-max-tokens/pytorch_model.bin,torch.save
sentence-transformers/bert-base-nli-max-tokens,9197788a3a9e88efac67a52a274213de5d77f9b7,sentence-transformers/bert-base-nli-max-tokens/pytorch_model.bin,pickle
sentence-transformers/bert-base-nli-cls-token,ee3a718b5d7c0eca401b2bc52bf07a9312755ebe,sentence-transformers/bert-base-nli-cls-token/model.safetensors,safetensors
sentence-transformers/bert-base-nli-cls-token,e843bdcd4b124d765c5a2d100118212610719537,sentence-transformers/bert-base-nli-cls-token/tf_model.h5,h5/hdf5
sentence-transformers/bert-base-nli-cls-token,5d079c4633a3d4f99be2dcac74431264decb38b5,sentence-transformers/bert-base-nli-cls-token/pytorch_model.bin,torch.save
sentence-transformers/bert-base-nli-cls-token,421b5c81d41fb39d0957c392be837c039294e774,sentence-transformers/bert-base-nli-cls-token/pytorch_model.bin,pickle
sentence-transformers/average_word_embeddings_levy_dependency,4ac2e603903b82618b4d049e96f9a99f5458f81f,sentence-transformers/average_word_embeddings_levy_dependency/0_WordEmbeddings/pytorch_model.bin,torch.save
sentence-transformers/average_word_embeddings_komninos,df610d658d812159de8fa0c97c3ace87b8955b3b,sentence-transformers/average_word_embeddings_komninos/0_WordEmbeddings/pytorch_model.bin,torch.save
sentence-transformers/average_word_embeddings_glove.840B.300d,7e0d4246e8632624e172145e00b2a4e155aa34bf,sentence-transformers/average_word_embeddings_glove.840B.300d/0_WordEmbeddings/pytorch_model.bin,torch.save
sentence-transformers/average_word_embeddings_glove.6B.300d,d1863690dfb53d8207dc81d5060052effdbd00de,sentence-transformers/average_word_embeddings_glove.6B.300d/0_WordEmbeddings/pytorch_model.bin,torch.save
sentence-transformers/allenai-specter,a1514d7c92d661ac5b4e687045bd3d40b832ce81,sentence-transformers/allenai-specter/model.safetensors,safetensors
sentence-transformers/allenai-specter,29f9f45ff2a85fe9dfe8ce2cef3d8ec4e65c5f37,sentence-transformers/allenai-specter/tf_model.h5,h5/hdf5
sentence-transformers/allenai-specter,a0f01552c8a88904e7c13921ab7c3694372caf64,sentence-transformers/allenai-specter/pytorch_model.bin,torch.save
sentence-transformers/all-roberta-large-v1,7351068294d6fad1e9991c08ec123bbacdb0cad5,sentence-transformers/all-roberta-large-v1/model.safetensors,safetensors
sentence-transformers/all-mpnet-base-v2,84f2bcc00d77236f9e89c8a360a00fb1139bf47d,sentence-transformers/all-mpnet-base-v2/model.safetensors,safetensors
sentence-transformers/all-mpnet-base-v2,58ae3134e6ee1b28fcc971671a15dd0d6f1ba5e8,sentence-transformers/all-mpnet-base-v2/pytorch_model.bin,torch.save
