repo_url,commit_hash,model_file_path,serialization_format
sentence-transformers/msmarco-distilbert-base-v2,7f39727f93138d6dd3d644bce182ddceb5823370,sentence-transformers/msmarco-distilbert-base-v2/pytorch_model.bin,torch.save
sentence-transformers/msmarco-distilbert-base-v2,ba16bf3eadec007864b8495f061ebcb3ccf8c517,sentence-transformers/msmarco-distilbert-base-v2/pytorch_model.bin,torch.save
sentence-transformers/msmarco-distilbert-base-tas-b,996dfc6404137c6d89c7bf647a4bae62fdf8dd9a,sentence-transformers/msmarco-distilbert-base-tas-b/model.safetensors,safetensors
sentence-transformers/msmarco-distilbert-base-tas-b,1de916fb3ec96493f57c9f0349a0d9e338ed64c2,sentence-transformers/msmarco-distilbert-base-tas-b/tf_model.h5,h5/hdf5
sentence-transformers/msmarco-distilbert-base-tas-b,0648919cc22f1f8bd4b9717c0c79fbf6ed527388,sentence-transformers/msmarco-distilbert-base-tas-b/pytorch_model.bin,torch.save
sentence-transformers/msmarco-distilbert-base-dot-prod-v3,e3a72bf723b0123b3d58a620ef11d204231d77b7,sentence-transformers/msmarco-distilbert-base-dot-prod-v3/2_Dense/model.safetensors,safetensors
sentence-transformers/msmarco-distilbert-base-dot-prod-v3,e3a72bf723b0123b3d58a620ef11d204231d77b7,sentence-transformers/msmarco-distilbert-base-dot-prod-v3/model.safetensors,safetensors
sentence-transformers/msmarco-distilbert-base-dot-prod-v3,0bafe057815532ca7ee37f002d9d1413d78b6d67,sentence-transformers/msmarco-distilbert-base-dot-prod-v3/tf_model.h5,h5/hdf5
sentence-transformers/msmarco-distilbert-base-dot-prod-v3,ca3b3e9f82b292abaa2ef4d80c4bc31a89144464,sentence-transformers/msmarco-distilbert-base-dot-prod-v3/2_Dense/pytorch_model.bin,torch.save
sentence-transformers/msmarco-distilbert-base-dot-prod-v3,ca3b3e9f82b292abaa2ef4d80c4bc31a89144464,sentence-transformers/msmarco-distilbert-base-dot-prod-v3/pytorch_model.bin,torch.save
sentence-transformers/msmarco-distilbert-base-dot-prod-v3,d869fb6665b8cfaff826c98ec21e6208623dce79,sentence-transformers/msmarco-distilbert-base-dot-prod-v3/pytorch_model.bin,torch.save
sentence-transformers/msmarco-bert-co-condensor,427333dc90e4d6c1e3cff464577d1dddbdc5912b,sentence-transformers/msmarco-bert-co-condensor/model.safetensors,safetensors
sentence-transformers/msmarco-bert-co-condensor,294fb16fd5f0f09325ba1068ce84fe11424d548c,sentence-transformers/msmarco-bert-co-condensor/pytorch_model.bin,torch.save
sentence-transformers/msmarco-bert-base-dot-v5,cb06e8fcb7c81153cb820f9aadf64fb36d58bc80,sentence-transformers/msmarco-bert-base-dot-v5/model.safetensors,safetensors
sentence-transformers/msmarco-bert-base-dot-v5,668e63a378bc93d76c430af68338e550dc78df09,sentence-transformers/msmarco-bert-base-dot-v5/tf_model.h5,h5/hdf5
sentence-transformers/msmarco-bert-base-dot-v5,2c3c6f57a10acc10490b6cc80b6d93d96c43cf5e,sentence-transformers/msmarco-bert-base-dot-v5/pytorch_model.bin,torch.save
sentence-transformers/msmarco-MiniLM-L6-cos-v5,1675dde8bf821301ce6828a5b65d68eafd09fd0f,sentence-transformers/msmarco-MiniLM-L6-cos-v5/model.safetensors,safetensors
sentence-transformers/msmarco-MiniLM-L6-cos-v5,16d295d3338a2f01448ba841fd181cc2ce7b63f4,sentence-transformers/msmarco-MiniLM-L6-cos-v5/tf_model.h5,h5/hdf5
sentence-transformers/msmarco-MiniLM-L6-cos-v5,15af0e8c3d762866bd8cbc55d0cecb979f4452da,sentence-transformers/msmarco-MiniLM-L6-cos-v5/pytorch_model.bin,torch.save
sentence-transformers/msmarco-MiniLM-L12-cos-v5,5a2625f5c110735f6b6961fd3ce87f73a29f0849,sentence-transformers/msmarco-MiniLM-L12-cos-v5/model.safetensors,safetensors
sentence-transformers/msmarco-MiniLM-L12-cos-v5,ac9b7aaeea782db12fcd41670de2092ecce4ff65,sentence-transformers/msmarco-MiniLM-L12-cos-v5/tf_model.h5,h5/hdf5
sentence-transformers/msmarco-MiniLM-L12-cos-v5,fbcebac5018cd518d263c1422602cd57ad14909c,sentence-transformers/msmarco-MiniLM-L12-cos-v5/pytorch_model.bin,torch.save
sentence-transformers/msmarco-MiniLM-L-6-v3,4bbcc2eda546e4b955eb470d175143e450322d72,sentence-transformers/msmarco-MiniLM-L-6-v3/model.safetensors,safetensors
sentence-transformers/msmarco-MiniLM-L-6-v3,195276c0c8647b99dfe128bd8bc4ecd1a66d41f8,sentence-transformers/msmarco-MiniLM-L-6-v3/tf_model.h5,h5/hdf5
sentence-transformers/msmarco-MiniLM-L-6-v3,c343792acb63c1ea325ee2eacc1c80d8982390c2,sentence-transformers/msmarco-MiniLM-L-6-v3/pytorch_model.bin,torch.save
sentence-transformers/msmarco-MiniLM-L-6-v3,1dddb9e5d396b9c4601dccbf2c3f29a652aefb7c,sentence-transformers/msmarco-MiniLM-L-6-v3/pytorch_model.bin,torch.save
sentence-transformers/msmarco-MiniLM-L-12-v3,0ff694ede6574bbed1625216e5bd1a2f517abaf1,sentence-transformers/msmarco-MiniLM-L-12-v3/tf_model.h5,h5/hdf5
sentence-transformers/msmarco-MiniLM-L-12-v3,c16754418369986e069d96205302ba5a92db7b75,sentence-transformers/msmarco-MiniLM-L-12-v3/pytorch_model.bin,torch.save
sentence-transformers/msmarco-MiniLM-L-12-v3,7c6bc2ed55a9719266564211eef0aadea9150611,sentence-transformers/msmarco-MiniLM-L-12-v3/pytorch_model.bin,torch.save
sentence-transformers/gtr-t5-xxl,73f2a9156a3dcc2194dfdb2bf201cd7d17e17884,sentence-transformers/gtr-t5-xxl/2_Dense/model.safetensors,safetensors
sentence-transformers/gtr-t5-xxl,73f2a9156a3dcc2194dfdb2bf201cd7d17e17884,sentence-transformers/gtr-t5-xxl/model.safetensors,safetensors
sentence-transformers/gtr-t5-xxl,1431e7c1a9f4bf061070434127e055edce49313b,sentence-transformers/gtr-t5-xxl/2_Dense/pytorch_model.bin,torch.save
sentence-transformers/gtr-t5-xxl,1431e7c1a9f4bf061070434127e055edce49313b,sentence-transformers/gtr-t5-xxl/pytorch_model.bin,torch.save
sentence-transformers/gtr-t5-xxl,1431e7c1a9f4bf061070434127e055edce49313b,sentence-transformers/gtr-t5-xxl/spiece.model,ONNX
