repo_url,commit_hash,model_file_path,serialization_format
cointegrated/rubert-tiny-toxicity,9e6d94eef3599d7b509580c8551227229cf0c5fb,cointegrated/rubert-tiny-toxicity/model.safetensors,safetensors
cointegrated/rubert-tiny-toxicity,f9844b9baea1f9cdd820f65c6890b672ff5331e8,cointegrated/rubert-tiny-toxicity/pytorch_model.bin,torch.save
cointegrated/rubert-tiny-toxicity,d8dad328d7a5802a5fa159977d3aa2149ba5d94b,cointegrated/rubert-tiny-toxicity/pytorch_model.bin,torch.save
cointegrated/rubert-base-cased-nli-threeway,920cbb52ef830e94461bf141ec2119979b6049e2,cointegrated/rubert-base-cased-nli-threeway/onnx/model.onnx,ONNX
cointegrated/rubert-base-cased-nli-threeway,3b1ca3c1c6c27f2714415652d6f6b6b97a8e5480,cointegrated/rubert-base-cased-nli-threeway/model.safetensors,safetensors
cointegrated/rubert-base-cased-nli-threeway,aa3b56b0fe203987d402b4af057443a866493c32,cointegrated/rubert-base-cased-nli-threeway/pytorch_model.bin,torch.save
cointegrated/rubert-base-cased-nli-threeway,94a2b8f6d0b701ed2bd3a24d06b4ed76040945ce,cointegrated/rubert-base-cased-nli-threeway/pytorch_model.bin,torch.save
cointegrated/rubert-base-cased-nli-threeway,29f4a4cdf392e25f77bfd07abe0cbbcbc0f12620,cointegrated/rubert-base-cased-nli-threeway/pytorch_model.bin,torch.save
cointegrated/LaBSE-en-ru,4fa3ac91ff481f4d035262b812682c0dfbfd8e11,cointegrated/LaBSE-en-ru/2_Dense/pytorch_model.bin,torch.save
cointegrated/LaBSE-en-ru,54c1434596262eb6396e1676f8684bae0abb3be1,cointegrated/LaBSE-en-ru/model.safetensors,safetensors
cointegrated/LaBSE-en-ru,9e6d1e5fa79584f5346a5262b69bb6dc64b46f98,cointegrated/LaBSE-en-ru/tf_model.h5,h5/hdf5
cointegrated/LaBSE-en-ru,ea03f7c086a26fc87e47394c1de959b604e82447,cointegrated/LaBSE-en-ru/pytorch_model.bin,torch.save
cmarkea/distilcamembert-base-sentiment,6017841ea9cfb31dc891cee85537d58f9fac6d73,cmarkea/distilcamembert-base-sentiment/model.safetensors,safetensors
cmarkea/distilcamembert-base-sentiment,48f4889be62b6b03f2278d7d08e2fb13558f7c3f,cmarkea/distilcamembert-base-sentiment/model_quantized.onnx,ONNX
cmarkea/distilcamembert-base-sentiment,5511d067ad7056262c042b58463c1294891ccec0,cmarkea/distilcamembert-base-sentiment/model-quantized.onnx,ONNX
cmarkea/distilcamembert-base-sentiment,c0649fdba1aa04fe491c589baf4a53a76a48e08e,cmarkea/distilcamembert-base-sentiment/model.onnx,ONNX
cmarkea/distilcamembert-base-sentiment,41396688ec9e616d1cdcce3e014bc7fd66faeacc,cmarkea/distilcamembert-base-sentiment/tf_model.h5,h5/hdf5
cmarkea/distilcamembert-base-sentiment,ba045664306689985e2fbf1df08617a722801430,cmarkea/distilcamembert-base-sentiment/sentencepiece.bpe.model,ONNX
cmarkea/distilcamembert-base-sentiment,3456635219454bc1d4faa8d81cdcc2d101cbe4d1,cmarkea/distilcamembert-base-sentiment/pytorch_model.bin,torch.save
cmarkea/distilcamembert-base-ner,26cc9a4628ceaf49a7c8fa1ad14fc83d9da3489e,cmarkea/distilcamembert-base-ner/model.safetensors,safetensors
cmarkea/distilcamembert-base-ner,94850e55c4ef86372c87d23d0737d0045502fda2,cmarkea/distilcamembert-base-ner/model_quantized.onnx,ONNX
cmarkea/distilcamembert-base-ner,5b726aee7492652848d91fabb1d74ce910f0b9c5,cmarkea/distilcamembert-base-ner/model.onnx,ONNX
cmarkea/distilcamembert-base-ner,cd3858f71aaa958081cfa250c58af88e82cda8cd,cmarkea/distilcamembert-base-ner/tf_model.h5,h5/hdf5
cmarkea/distilcamembert-base-ner,2fafd7ef0a6bc803336cf37a04c364a58222b4db,cmarkea/distilcamembert-base-ner/pytorch_model.bin,torch.save
cmarkea/distilcamembert-base-ner,95aa71b6db1370ed8ca1b8fadba14765d303a7bc,cmarkea/distilcamembert-base-ner/tf_model.h5,h5/hdf5
