repo_url,commit_hash,error
csukuangfj/icefall-asr-librispeech-pruned-transducer-stateless3-2022-05-13,3bd07d1873c0054ffb3f65eb03f591bd726b966d,[Errno 2] No such file or directory: 'tmp/csukuangfj+icefall-asr-librispeech-pruned-transducer-stateless3-2022-05-13/pretrained-iter-1224000-avg-14.pt'
shibing624/bert4ner-base-chinese,facba78cc92b8b6b837c215264c60d00d2a023c4,[Errno 2] No such file or directory: 'tmp/shibing624+bert4ner-base-chinese/pytorch_model.bin'
SBB/sbb_binarization,f6641f7d56479bfe0be09ad4fc6d41c3fd175b08,[Errno 2] No such file or directory: 'tmp/SBB+sbb_binarization/saved_model/2021_03_09/keras_metadata.pb'
SBB/sbb_binarization,e11abbf7470982d6238b690114fe27331d81abf6,[Errno 2] No such file or directory: 'tmp/SBB+sbb_binarization/model_bin_sbb_ens.h5'
Jorgvt/PerceptNet,9a3e24105ca2b2e71e5125e33e34f46edcb7edbd,[Errno 2] No such file or directory: 'tmp/Jorgvt+PerceptNet/final_model_rgb.h5'
ctheodoris/Geneformer,933ca80e39d421c47a12168699766bb7e4e2c197,[Errno 2] No such file or directory: 'tmp/ctheodoris+Geneformer/fine_tuned_models/geneformer-6L-30M_CellClassifier_cardiomyopathies_220224/optimizer.pt'
ctheodoris/Geneformer,ec19834345a43617abfd51669c7c3cc7e0aecaba,[Errno 2] No such file or directory: 'tmp/ctheodoris+Geneformer/geneformer/gene_name_id_dict_gc95m.pkl'
ctheodoris/Geneformer,817eca29d34eab359d8614ae14dfa3033a609419,[Errno 2] No such file or directory: 'tmp/ctheodoris+Geneformer/geneformer/gene_name_id_dict_gc95M.pkl'
ctheodoris/Geneformer,61f15d2966d2e3a942211398eba8e22fdfee592b,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 61f15d2966d2e3a942211398eba8e22fdfee592b
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	geneformer/token_dictionary_gc95M.pkl
Please commit your changes or stash them before you switch branches.
Aborting'"
ctheodoris/Geneformer,1786b4450ff9d52f26817bb80281188e3298a723,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 1786b4450ff9d52f26817bb80281188e3298a723
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	geneformer/token_dictionary_gc95M.pkl
Please commit your changes or stash them before you switch branches.
Aborting'"
ctheodoris/Geneformer,9d41e7053af8a702003d99305cee01cd34b62ab7,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 9d41e7053af8a702003d99305cee01cd34b62ab7
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	geneformer/token_dictionary_gc95M.pkl
Please commit your changes or stash them before you switch branches.
Aborting'"
