repo_url,commit_hash,model_file_path,serialization_format
aubmindlab/aragpt2-large,c6ee4555d6ad5644a28d71f2ff8d99746ef500f7,aubmindlab/aragpt2-large/model.safetensors,safetensors
aubmindlab/aragpt2-large,1b51f3d9bc791249bb9c193a69cdaf836d0634aa,aubmindlab/aragpt2-large/pytorch_model.bin,torch.save
antoinelouis/netbert,74352a6482f6ebf9117953e66a99c2ee88222db4,antoinelouis/netbert/model.safetensors,safetensors
antoinelouis/netbert,5730cebf060cb2988319862c9bccc86b7827a3d4,antoinelouis/netbert/tf_model.h5,h5/hdf5
antoinelouis/netbert,3f2e66a5636ca3b7f0febc56925132f5cff75684,antoinelouis/netbert/pytorch_model.bin,pickle
antoinelouis/belgpt2,0bb8295d7ccb13ebe4920b4b8cfeb87f01e371e7,antoinelouis/belgpt2/model.safetensors,safetensors
antoinelouis/belgpt2,cadbd46357079b44218857b8e1e3dac1b8be1aae,antoinelouis/belgpt2/tf_model.h5,h5/hdf5
antoinelouis/belgpt2,73638cf2297b4dd88f163487b105f2548f969492,antoinelouis/belgpt2/pytorch_model.bin,pickle
anjulRajendraSharma/wav2vec2-indian-english,8b4f55603d5ef09fb4549b04e74837483570af47,anjulRajendraSharma/wav2vec2-indian-english/pytorch_model.bin,torch.save
akdeniz27/xlm-roberta-base-turkish-ner,0f71b7c93ff799a7ec4a677113c9cc4f2a6a81cd,akdeniz27/xlm-roberta-base-turkish-ner/model.safetensors,safetensors
akdeniz27/xlm-roberta-base-turkish-ner,a1d348d9bc9b4f87f7b5f0f479d2f21c3b213935,akdeniz27/xlm-roberta-base-turkish-ner/pytorch_model.bin,torch.save
akdeniz27/xlm-roberta-base-turkish-ner,a1d348d9bc9b4f87f7b5f0f479d2f21c3b213935,akdeniz27/xlm-roberta-base-turkish-ner/sentencepiece.bpe.model,ONNX
akdeniz27/xlm-roberta-base-turkish-ner,82a385167d508b05fdb66f894e9895f0605ddecc,akdeniz27/xlm-roberta-base-turkish-ner/pytorch_model.bin,torch.save
akdeniz27/mbert-base-albanian-cased-ner,8d4bb589ce8457c20a5a6945917f6ebc9a3a2205,akdeniz27/mbert-base-albanian-cased-ner/model.safetensors,safetensors
akdeniz27/mbert-base-albanian-cased-ner,9ac7ea70630ba1190fd53bf34cf3572cb692364a,akdeniz27/mbert-base-albanian-cased-ner/pytorch_model.bin,torch.save
akdeniz27/mbert-base-albanian-cased-ner,9ac7ea70630ba1190fd53bf34cf3572cb692364a,akdeniz27/mbert-base-albanian-cased-ner/training_args.bin,torch.save
akdeniz27/mDeBERTa-v3-base-turkish-ner,e9d25b5a6bff1118ffaca6553046a65b021baba1,akdeniz27/mDeBERTa-v3-base-turkish-ner/model.safetensors,safetensors
akdeniz27/mDeBERTa-v3-base-turkish-ner,25066be85b1ddaa693c59a5b49927390ac3424e9,akdeniz27/mDeBERTa-v3-base-turkish-ner/pytorch_model.bin,torch.save
akdeniz27/mDeBERTa-v3-base-turkish-ner,25066be85b1ddaa693c59a5b49927390ac3424e9,akdeniz27/mDeBERTa-v3-base-turkish-ner/spm.model,ONNX
akdeniz27/bert-base-turkish-cased-ner,b247a7fa2cbb6faea1d15011e2d22d13caa2286e,akdeniz27/bert-base-turkish-cased-ner/model.safetensors,safetensors
akdeniz27/bert-base-turkish-cased-ner,eef243305b7bd58d5177fb3c7be0e31f0dc3a772,akdeniz27/bert-base-turkish-cased-ner/model.onnx,ONNX
akdeniz27/bert-base-turkish-cased-ner,03caf372c881551f7b059f49e14722d0e1003355,akdeniz27/bert-base-turkish-cased-ner/pytorch_model.bin,torch.save
akdeniz27/bert-base-hungarian-cased-ner,15e7659a98c256c100c279975af3318e18a21eb8,akdeniz27/bert-base-hungarian-cased-ner/model.safetensors,safetensors
akdeniz27/bert-base-hungarian-cased-ner,5ef86a99edec1c72276f1b81419787a251b939f2,akdeniz27/bert-base-hungarian-cased-ner/pytorch_model.bin,torch.save
akdeniz27/bert-base-hungarian-cased-ner,5ef86a99edec1c72276f1b81419787a251b939f2,akdeniz27/bert-base-hungarian-cased-ner/training_args.bin,torch.save
aismlv/wav2vec2-large-xlsr-kyrgyz,83740f3a7f17f0926e0c56d69818a32bbf722085,aismlv/wav2vec2-large-xlsr-kyrgyz/pytorch_model.bin,torch.save
adalbertojunior/image_captioning_portuguese,0bf78aa0a4dcb53c3e913a7b6fa62a7853d34c72,adalbertojunior/image_captioning_portuguese/pytorch_model.bin,torch.save
adalbertojunior/distilbert-portuguese-cased,df1fa7aaabd0255a57286339fd706cdaa08244bb,adalbertojunior/distilbert-portuguese-cased/model.safetensors,safetensors
adalbertojunior/distilbert-portuguese-cased,3519cf805fd091939d8df01387c69ab8562eaa33,adalbertojunior/distilbert-portuguese-cased/pytorch_model.bin,torch.save
VoVanPhuc/sup-SimCSE-VietNamese-phobert-base,608779b86741a8acd8c8d38132974ff04086b138,VoVanPhuc/sup-SimCSE-VietNamese-phobert-base/model.safetensors,safetensors
VoVanPhuc/sup-SimCSE-VietNamese-phobert-base,ae1275825875314c5b772b93280fbf14dbed86c5,VoVanPhuc/sup-SimCSE-VietNamese-phobert-base/pytorch_model.bin,torch.save
VoVanPhuc/sup-SimCSE-VietNamese-phobert-base,f5b7acb46e55361b272ba133fa060c1469bcc92d,VoVanPhuc/sup-SimCSE-VietNamese-phobert-base/pytorch_model.bin,torch.save
UBC-NLP/AraT5-base,9a6474858aa462dbdeef7ac798b37116bc08db98,UBC-NLP/AraT5-base/tf_model.h5,h5/hdf5
UBC-NLP/AraT5-base,10502643c9b4c65212d0b9bd4fe03aead418544e,UBC-NLP/AraT5-base/pytorch_model.bin,torch.save
UBC-NLP/AraT5-base,10502643c9b4c65212d0b9bd4fe03aead418544e,UBC-NLP/AraT5-base/spiece.model,ONNX
UBC-NLP/AraT5-base,10502643c9b4c65212d0b9bd4fe03aead418544e,UBC-NLP/AraT5-base/tf_model.h5,h5/hdf5
