repo_url,commit_hash,error
deepparag/Aeona,43a29c2279fedb11cc4218654b9c9774dcb0a007,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 43a29c2279fedb11cc4218654b9c9774dcb0a007
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,cb76cf09ad9cfbb03eb9943dfd68c679285cebf9,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout cb76cf09ad9cfbb03eb9943dfd68c679285cebf9
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,79cbc2bcfcffce45ef069c2978874a9b5fe98d6a,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 79cbc2bcfcffce45ef069c2978874a9b5fe98d6a
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,1c3a7cb614fe51c7cab8e7b7ab502e359104f248,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 1c3a7cb614fe51c7cab8e7b7ab502e359104f248
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,70bd206be642e9302960ff706206c14b80d138ad,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 70bd206be642e9302960ff706206c14b80d138ad
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,b37ca7df8fefa9fe5b6742431b1f853acf9b9599,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout b37ca7df8fefa9fe5b6742431b1f853acf9b9599
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,0882b996e6651c82a180df76740b617fdc07f22e,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 0882b996e6651c82a180df76740b617fdc07f22e
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,8970dad396f7dab56dfd30524b951b26aeb75784,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 8970dad396f7dab56dfd30524b951b26aeb75784
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,2a58c5cd2b3243133ba82f6965483cbf560de017,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 2a58c5cd2b3243133ba82f6965483cbf560de017
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
deepparag/Aeona,094486ef84c1bc1ec6d83ed8edaa802779653769,"Cmd('git') failed due to: exit code(1)
  cmdline: git checkout 094486ef84c1bc1ec6d83ed8edaa802779653769
  stderr: 'error: Your local changes to the following files would be overwritten by checkout:
	pytorch_model.bin
Please commit your changes or stash them before you switch branches.
Aborting'"
